"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6"
"humancingidm16porta1secc1somacel1",1.15556108544957,3.32150566381121,3.65530264982216,3.86935998961332,3.91049272912562,3.54570934187095,1.86657714799436,-1.8617077930241,1.50265234957677,1.78569483513338,0.499584574209881,-1.38088402380471,-1.79989742262974,-0.978011606668733,-0.972723155642106,-0.990236063169746,-0.995532894374033,-0.971500593859748,-0.994469847235288,3.33358176552936,5.10360583992017,5.62805376249686,5.31551527964041,4.75308751354005,3.3196142709505,3.47815101242624,5.48903734849018,6.63377613936755,6.69530898206268,5.29372454808289,3.84920168624483,0.57371027587697,-2.97573008917542,-2.98521540393582,-3.05831646353227,-2.82998269390288,-2.48458442343425,1.56128222427946,1.48292068361556,1.47509190735509,1.46440078076462,1.4470854900329,1.40526487270581
"humancingidm16porta1secc1somacel10",0.437626548579964,2.37648916353641,2.96587555662044,3.20883690478148,3.36922805504761,2.93918730304973,2.3787969297295,2.23637721617823,1.37413285495325,-1.24031383928065,0.265779154159612,0.0887117105370366,-0.314299370351199,-0.806642485124191,-0.98688396146436,-0.998489794218475,-0.967050839680929,-0.95856448469591,-0.878789310752696,2.95115463519235,5.21687085108832,6.5221390032146,6.31074215056914,5.38516510679919,3.25402293741308,3.25702571553198,5.67651289640074,7.39075522655791,8.63333766794921,8.70376519004426,5.96134240958824,-0.2715715520326,-0.499016089023786,-0.468616458855844,-0.464097519380848,-0.434287490128678,-0.604220750585503,1.10455340929753,1.06026872812302,1.02442213315025,1.0177804229072,1.04003134275572,1.01980927133055
"humancingidm16porta1secc1somacel11",0.18059064506058,3.35383738916876,3.62219762723627,3.95052314756892,4.11127981373645,3.54400907110149,2.65804840594118,1.63584938437185,2.42354953896771,0.0523822064805832,-0.468940120385411,1.99535133012525,2.76603493690037,-0.905682454230172,-0.996453048531473,-0.994382091418988,-0.953188169428631,-0.97991687319002,-0.776840310478132,3.90716309177863,6.11015438042934,7.47724545943692,7.37390658337645,6.05672870012072,4.01765066116865,4.08185245117914,6.55554551415003,8.84641960911932,10.4091480269901,10.0770592801632,5.91322605375838,-0.336719631819047,-0.172686453233001,-0.187873025315757,-0.163500248496379,-0.186229554257287,-0.547438339265548,1.10947865910545,1.12893069550998,1.11497695676985,1.10945670770877,1.11337632795673,1.1043961622879
"humancingidm16porta1secc1somacel12",1.33944530720649,3.647230872521,3.80537810980484,4.25562227752188,4.18405709601667,3.95935561737993,3.21250566764291,1.38815716109256,0.847576262757513,-2.50365277923771,0.804721484369191,1.51122054658586,1.5696278887235,-0.925594586546379,-0.997958296556334,-0.9412722038404,-0.989217498307538,-0.991258855982835,-0.82358288141419,3.4876917544035,5.15291393657466,6.26598220518067,6.66601184591037,6.07111819750437,4.29622915100711,3.75970858269388,6.39669103163967,8.51140006839934,9.45953061988582,9.21551783400045,6.88614273606432,-0.288666679748357,0.0278354792477482,0.140634825312907,0.105239903545995,0.0495901154113383,0.109688119854904,1.410322103592,1.32210674226672,1.25938402689263,1.29145129054726,1.28074611122119,1.29508351528797
"humancingidm16porta1secc1somacel15",2.34377264522592,3.26186376783474,3.557647484416,3.50925787651872,4.0338625077519,3.76353719580978,3.37012124486018,1.60611374052448,0.494245811902581,-1.97257602092904,2.36583933859558,-1.48308729732806,-1.8138734072025,-0.975692408267535,-0.976994704971088,-0.970266284616492,-0.962733091129123,-0.988483554753554,-0.985881219288744,2.43954081020282,3.82569692687141,5.2911592353599,5.55079113681391,4.79103050190639,3.15925639673362,3.06431032777911,5.84971386540683,7.84624681093414,9.9779322623472,9.69895821315366,7.69218237403917,-1.06240688695867,-0.665384237230423,-0.14817440477332,0.14285349083492,0.000578102184402775,0.101263804907913,1.42357952379369,1.4271871644107,1.39620086887184,1.42026812926217,1.39888665496785,1.36661164721618
"humancingidm16porta1secc1somacel17",3.36107997608563,4.74958041200334,4.39906234816124,4.73219649292655,4.99017024048595,5.04834446685048,7.87994001676539,1.93544782752146,-0.428705554776047,-1.28972534400882,1.74017236273498,2.23995346157324,1.58241027833157,-0.979276370673345,-0.99128535571913,-0.950116480270266,-0.924859050757334,-0.947580251070817,-0.76081812453087,2.44220092419499,3.50892757264792,4.96005150865294,6.44291833063881,5.54314937835569,3.51415724167657,3.89115059363758,6.28311923231093,9.23157191222995,11.2662504604485,12.6455677292189,10.8840049916675,-0.522844385986996,-0.323322994596202,-0.381054191078571,-0.353001809998114,0.327862305853375,1.40665768671107,1.44080932459709,1.39762139469383,1.4167627184906,1.5019191768911,1.491779562483,1.30009753227155
"humancingidm16porta1secc1somacel2",1.92390360185548,3.0777399631364,3.74169080666358,3.83146444370635,3.83640360408786,3.60477190224572,3.13925828973325,2.82521540562142,1.09680291768953,0.212993311057274,-1.49451400982811,0.768144572382829,-1.41735511999947,-0.929577546631638,-0.97460623931112,-0.982146722459027,-0.990157645906001,-0.968851495821731,-0.956653740886605,2.79832713650841,4.08786778996743,5.11771329543671,5.64022131822,4.70183014820611,2.95577359752378,3.25807237808577,5.75371586257214,6.69117457049146,6.43045507450014,6.31848840783337,4.98814445266144,-1.80125220925359,-1.50089486728735,-1.34071361649216,-1.22548736592922,-1.44892710568408,-1.72676388414706,1.49671383517972,1.37559862560056,1.3739100002134,1.38212411780734,1.36921880566308,1.32111089284265
"humancingidm16porta1secc1somacel3",2.40378022063944,2.43275505062257,3.570320373278,3.55327449865603,3.51078322289052,3.19653981270595,1.70362696123299,1.73157933644042,-1.25148741897106,0.0990058185263266,3.05966159171735,-0.139011574938016,2.18187219584291,-0.860724171178941,-0.890816115376825,-0.989444821361016,-0.971111880998223,-0.986389945045078,-0.927521805374779,2.05976557902789,4.2775005204057,4.93601289217265,5.31976739829784,5.13362713167429,3.26764118379265,2.2535530909511,4.89889686534288,5.7022325258078,6.2757646426668,5.65775917813606,4.01998427423275,-0.129418488318416,-0.153330782578923,-0.198891920505415,-0.149364082200599,-0.0669526561827609,-0.349679606386221,1.45671644314196,1.20109710524858,1.26839563429001,1.30867104821009,1.30294570200656,1.20613124470909
"humancingidm16porta1secc1somacel5",1.69952801804088,3.22937268411921,3.29439692886437,3.71792925719896,3.5960564623435,3.47685133105361,3.60891446676881,1.59143236367907,0.944255332390809,0.894287118599311,-2.92793860948935,0.381005220997106,-2.68279530106273,-0.929751414224791,-0.990326935767853,-0.988717581329814,-0.954215014272172,-0.927865167060987,-0.53573769191036,2.63971267679573,4.21509368216297,4.98079385025285,5.27171109601894,4.46363389614667,2.60190161602583,3.05542655983274,4.96383969007029,6.87281361624775,7.54580063639097,6.38093472435033,5.12482735418032,-0.330600691973542,-0.10426192346223,-0.0336514876801658,0.0446281393614292,0.176447403269852,-0.00922270268573517,1.43863071718188,1.29854300760659,1.24121508522567,1.18793779741766,1.20632718382032,1.19245402542837
"humancingidm16porta1secc1somacel6",1.26779332012464,2.8123457915024,3.28343885402263,3.57875119416963,3.33862751466524,3.17451168763586,1.62361720771956,2.16517097466761,1.49590148005415,-0.349703675133259,-2.86868146795389,-3.03762877838908,0.961542028028532,-0.925040686659986,-0.928754644313124,-0.937434194802351,-0.96508082083306,-0.967788510491103,-0.808445248144262,2.78982707301662,4.54759277301929,5.6325635387051,5.75932090875139,4.67712309377013,3.59972690216313,2.94749705281758,5.16791397974788,6.58060120621126,6.73774436608859,5.8604265072777,4.07129863245667,-0.0838742776494945,-0.343655340518593,-0.294559518422704,-0.268680469830755,-0.280516183638634,-0.188742270316449,1.28037412198403,1.26327771059505,1.17644635579485,1.16735129980454,1.15389642452024,1.12604970122879
